"AIRM","Air Methods Corporation","34.85","$1.34B","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm"
"AIRT","Air T, Inc.","24.68","$58.55M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt"
"ATSG","Air Transport Services Group, Inc","12.91","$823.11M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg"
"AMCN","AirMedia Group Inc","4.01","$249.41M","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn"
"AIXG","Aixtron SE","6.04","$673.95M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg"
"AKAM","Akamai Technologies, Inc.","53.18","$9.34B","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam"
"AKTX","Akari Therapeutics Plc","14.61","$172.06M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aktx"
"AKBA","Akebia Therapeutics, Inc.","7.94","$301.54M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba"
"AKER","Akers Biosciences Inc","1.81","$9.82M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker"
"AKRX","Akorn, Inc.","28.92","$3.45B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx"
"ALRM","Alarm.com Holdings, Inc.","24.3","$1.11B","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/alrm"
"ALSK","Alaska Communications Systems Group, Inc.","1.67","$85.56M","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk"
"AMRI","Albany Molecular Research, Inc.","13.63","$486.63M","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri"
"ABDC","Alcentra Capital Corp.","12.05","$162.75M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abdc"
"ADHD","Alcobra Ltd.","4.25","$117.13M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd"
"ALDR","Alder BioPharmaceuticals, Inc.","26.89","$1.34B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr"
"ALDX","Aldeyra Therapeutics, Inc.","5.35","$51.96M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldx"
"ALXN","Alexion Pharmaceuticals, Inc.","125.21","$28.05B","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn"
"ALCO","Alico, Inc.","31.39","$260.82M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco"
"ALGN","Align Technology, Inc.","79.15","$6.35B","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn"
"ALIM","Alimera Sciences, Inc.","1.64","$73.96M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim"
"ALJJ","ALJ Regional Holdings, Inc.","4.855","$169.7M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aljj"
"ALKS","Alkermes plc","41.37","$6.25B","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks"
"ABTX","Allegiance Bancshares, Inc.","24.38","$313.35M","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/abtx"
"ALGT","Allegiant Travel Company","144.07","$2.38B","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt"
"AIQ","Alliance HealthCare Services, Inc.","6.28","$67.41M","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq"
"AHGP","Alliance Holdings GP, L.P.","20.18","$1.21B","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp"
"ARLP","Alliance Resource Partners, L.P.","15.18","$1.13B","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp"
"AHPI","Allied Healthcare Products, Inc.","0.6346","$5.09M","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi"
"AMOT","Allied Motion Technologies, Inc.","21.59","$203M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot"
"ALQA","Alliqua BioMedical, Inc.","1.18","$34.2M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/alqa"
"ALLT","Allot Communications Ltd.","4.99","$167.45M","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt"
"MDRX","Allscripts Healthcare Solutions, Inc.","12.42","$2.32B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx"
"AFAM","Almost Family Inc","42.51","$441.09M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam"
"ALNY","Alnylam Pharmaceuticals, Inc.","56.01","$4.79B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alny"
"AOSL","Alpha and Omega Semiconductor Limited","14.18","$318.08M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl"
"GOOG","Alphabet Inc.","691.84","$474.99B","2004","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/goog"
"GOOGL","Alphabet Inc.","704.25","$483.51B","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/googl"
"SMCP","AlphaMark Actively Managed Small Cap ETF","21.1501","$22.21M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/smcp"
"ATEC","Alphatec Holdings, Inc.","0.2481","$25.35M","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec"
"ASPS","Altisource Portfolio Solutions S.A.","27.26","$503.75M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps"
"AIMC","Altra Industrial Motion Corp.","27.94","$725.6M","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc"
"AMAG","AMAG Pharmaceuticals, Inc.","23.24","$803.61M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag"
"AMRN","Amarin Corporation PLC","2.055","$380.43M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn"
"AMRK","A-Mark Precious Metals, Inc.","14.71","$102.93M","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk"
"AYA","Amaya Inc.","15.39","$2.23B","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aya"
"AMZN","Amazon.com, Inc.","705.59","$332.92B","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn"
"AMBC","Ambac Financial Group, Inc.","16.42","$739.67M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc"
"AMBCW","Ambac Financial Group, Inc.","7.23","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw"
"AMBA","Ambarella, Inc.","52.63","$1.73B","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba"
"AMCX","AMC Networks Inc.","59.48","$4.32B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx"
"DOX","Amdocs Limited","56.28","$8.43B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox"
"AMDA","Amedica Corporation","1.28","$16.94M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/amda"
"AMED","Amedisys Inc","48.1","$1.61B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed"
"UHAL","Amerco","356.31","$6.99B","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal"
"ATAX","America First Multifamily Investors, L.P.","5.54","$333.8M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax"
"AMOV","America Movil, S.A.B. de C.V.","11.893","$39.25B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov"
"AAL","American Airlines Group, Inc.","29.34","$16.96B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal"
"AGNC","American Capital Agency Corp.","19.005","$6.29B","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agnc"
"AGNCB","American Capital Agency Corp.","25.63","$8.88B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncb"
"AGNCP","American Capital Agency Corp.","26.3677","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncp"
"MTGE","American Capital Mortgage Investment Corp.","15.79","$722.54M","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtge"
"MTGEP","American Capital Mortgage Investment Corp.","25.135","$50.27M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtgep"
"ACSF","American Capital Senior Floating, Ltd.","10.51","$105.1M","2014","n/a","n/a","http://www.nasdaq.com/symbol/acsf"
"ACAS","American Capital, Ltd.","15.88","$3.47B","1997","n/a","n/a","http://www.nasdaq.com/symbol/acas"
"AETI","American Electric Technologies, Inc.","2.67","$22.14M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti"
"AMIC","American Independence Corp.","21.92","$177.96M","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic"
"AMNB","American National Bankshares, Inc.","26.78","$230.65M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb"
"ANAT","American National Insurance Company","114.08","$3.07B","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat"
"APEI","American Public Education, Inc.","27.77","$445.88M","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei"
"ARII","American Railcar Industries, Inc.","39.7","$776.58M","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii"
"AMRB","American River Bankshares","10.6","$72.08M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb"
"ASEI","American Science and Engineering, Inc.","31.56","$225.08M","n/a","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/asei"
"AMSWA","American Software, Inc.","9.94","$286.76M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa"
"AMSC","American Superconductor Corporation","8.28","$116.3M","1991","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc"
"AMWD","American Woodmark Corporation","64.11","$1.04B","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd"
"CRMT","America&#39;s Car-Mart, Inc.","25.2125","$205.26M","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt"
"ABCB","Ameris Bancorp","29.26","$1.02B","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb"
"AMSF","AMERISAFE, Inc.","60.59","$1.16B","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf"
"ASRV","AmeriServ Financial Inc.","3.14","$59.34M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv"
"ASRVP","AmeriServ Financial Inc.","27.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp"
"ATLO","Ames National Corporation","25.73","$239.57M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo"
"AMGN","Amgen Inc.","149.62","$112.4B","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn"
"FOLD","Amicus Therapeutics, Inc.","5.62","$714.02M","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold"
"AMKR","Amkor Technology, Inc.","5.92","$1.41B","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr"
"AMPH","Amphastar Pharmaceuticals, Inc.","14.98","$671.79M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amph"
"IBUY","Amplify Online Retail ETF","24.249","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibuy"
"AMSG","Amsurg Corp.","78.77","$4.32B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsg"
